contract_id,type,counterparty,start_date,end_date,status,total_value_usd,annual_commitment_usd,escalation,payment_terms,variable_costs,sla_uptime,sla_response_critical,sla_resolution_critical,sla_penalty,compliance,esg_reporting,termination,governing_law,arbitration
C-1000,SaaS Licensing,IBM India Pvt Ltd.,2022-04-22,2028-05-06,Terminated,11460901,2292180,3% YoY,Net 60,None,99.5%,30 min,4 hrs,5% penalty per missed critical resolution,"FCPA, GDPR, CCPA, India DPA 2023",Annual (GRI aligned),90 days mutual notice required,US,Arbitration India
C-1001,Service Outsourcing,Alpha Manufacturing Ltd.,2021-02-19,2027-10-25,Renewed,5970944,1194188,2% YoY,Net 45,Performance bonus structure,99.99%,30 min,4 hrs,2% fee credit per 0.1% drop,"SOC2, PCI DSS, UK Bribery Act",None required,90 days mutual notice required,UK,ICC Singapore
C-1002,IP Licensing,Alpha Manufacturing Ltd.,2020-03-26,2023-12-27,Renewed,5372747,767535,2% YoY,Net 45,None,99.9%,30 min,4 hrs,2% fee credit per 0.1% drop,"FCPA, India DPA 2023, HIPAA, SOC2, CCPA",Carbon Disclosure only,30 days cure for cause; 120 days convenience,UK,ICC Singapore
C-1003,Insurance,HCL Technologies,2020-10-03,2025-03-29,Expired,1340853,335213,3% YoY,Net 30,Performance bonus structure,99.5%,30 min,4 hrs,5% penalty per missed critical resolution,"HIPAA, SOC2, UK Bribery Act, ISO 27001",Annual (GRI aligned),Immediate termination for SLA breach,Singapore,Arbitration India
C-1004,Insurance,Infosys Ltd.,2020-03-14,2023-07-15,Expired,620477,88639,3% YoY,Net 45,2% overage on usage,99.99%,30 min,4 hrs,2% fee credit per 0.1% drop,"GDPR, SOC2, India DPA 2023, PCI DSS",Carbon Disclosure only,30 days cure for cause; 120 days convenience,India,Arbitration India
C-1005,Procurement,Microsoft Corp.,2023-10-05,2025-09-30,Active,6775955,1355191,2% YoY,Net 45,Performance bonus structure,99.99%,30 min,4 hrs,5% penalty per missed critical resolution,"UK Bribery Act, SOC2, GDPR",Quarterly ESG report,30 days cure for cause; 120 days convenience,Singapore,SIAC Singapore
C-1006,Partnership,IBM India Pvt Ltd.,2023-10-24,2028-08-14,Active,11268847,1609835,2% YoY,Net 30,2% overage on usage,99.9%,30 min,4 hrs,5% penalty per missed critical resolution,"UK Bribery Act, CCPA, GDPR",Quarterly ESG report,30 days cure for cause; 120 days convenience,UK,Arbitration India
C-1007,Partnership,Oracle Corp.,2024-01-28,2029-07-01,Renewed,11141557,3713852,2% YoY,Milestone-based,0.005 USD per API call above 1M,99.95%,30 min,4 hrs,2% fee credit per 0.1% drop,"FCPA, SOC2, PCI DSS, HIPAA, India DPA 2023",Annual (GRI aligned),30 days cure for cause; 120 days convenience,India,Arbitration India
C-1008,Employment,IBM India Pvt Ltd.,2021-03-01,2026-01-17,Expired,4537246,1134311,5% YoY,Net 45,None,99.9%,30 min,4 hrs,2% fee credit per 0.1% drop,"CCPA, GDPR, India DPA 2023, PCI DSS, SOC2",Carbon Disclosure only,90 days mutual notice required,Singapore,Arbitration India
C-1009,Loan,Amazon Web Services,2023-12-17,2028-02-27,Active,17058038,5686012,5% YoY,Net 60,None,99.95%,30 min,4 hrs,2% fee credit per 0.1% drop,"GDPR, UK Bribery Act, CCPA, SOC2",None required,30 days cure for cause; 120 days convenience,EU,LCIA London
